filename,label
sklearn_digits_poisson_data_000000.seq,0
sklearn_digits_poisson_data_000001.seq,1
sklearn_digits_poisson_data_000002.seq,2
sklearn_digits_poisson_data_000003.seq,3
sklearn_digits_poisson_data_000004.seq,4
sklearn_digits_poisson_data_000005.seq,5
sklearn_digits_poisson_data_000006.seq,6
sklearn_digits_poisson_data_000007.seq,7
sklearn_digits_poisson_data_000008.seq,8
sklearn_digits_poisson_data_000009.seq,9
sklearn_digits_poisson_data_000010.seq,0
sklearn_digits_poisson_data_000011.seq,1
sklearn_digits_poisson_data_000012.seq,2
sklearn_digits_poisson_data_000013.seq,3
sklearn_digits_poisson_data_000014.seq,4
sklearn_digits_poisson_data_000015.seq,5
sklearn_digits_poisson_data_000016.seq,6
sklearn_digits_poisson_data_000017.seq,7
sklearn_digits_poisson_data_000018.seq,8
sklearn_digits_poisson_data_000019.seq,9
sklearn_digits_poisson_data_000020.seq,0
sklearn_digits_poisson_data_000021.seq,1
sklearn_digits_poisson_data_000022.seq,2
sklearn_digits_poisson_data_000023.seq,3
sklearn_digits_poisson_data_000024.seq,4
sklearn_digits_poisson_data_000025.seq,5
sklearn_digits_poisson_data_000026.seq,6
sklearn_digits_poisson_data_000027.seq,7
sklearn_digits_poisson_data_000028.seq,8
sklearn_digits_poisson_data_000029.seq,9
sklearn_digits_poisson_data_000030.seq,0
sklearn_digits_poisson_data_000031.seq,9
sklearn_digits_poisson_data_000032.seq,5
sklearn_digits_poisson_data_000033.seq,5
sklearn_digits_poisson_data_000034.seq,6
sklearn_digits_poisson_data_000035.seq,5
sklearn_digits_poisson_data_000036.seq,0
sklearn_digits_poisson_data_000037.seq,9
sklearn_digits_poisson_data_000038.seq,8
sklearn_digits_poisson_data_000039.seq,9
sklearn_digits_poisson_data_000040.seq,8
sklearn_digits_poisson_data_000041.seq,4
sklearn_digits_poisson_data_000042.seq,1
sklearn_digits_poisson_data_000043.seq,7
sklearn_digits_poisson_data_000044.seq,7
sklearn_digits_poisson_data_000045.seq,3
sklearn_digits_poisson_data_000046.seq,5
sklearn_digits_poisson_data_000047.seq,1
sklearn_digits_poisson_data_000048.seq,0
sklearn_digits_poisson_data_000049.seq,0
sklearn_digits_poisson_data_000050.seq,2
sklearn_digits_poisson_data_000051.seq,2
sklearn_digits_poisson_data_000052.seq,7
sklearn_digits_poisson_data_000053.seq,8
sklearn_digits_poisson_data_000054.seq,2
sklearn_digits_poisson_data_000055.seq,0
sklearn_digits_poisson_data_000056.seq,1
sklearn_digits_poisson_data_000057.seq,2
